#Species/genus	Genomes	Organism name	Chromosome RefSeq	Chromosome GenBank	Plasmid RefSeq	Plasmid GenBank	CODE	Comment	PubmedIDs	External link
Clostridium hylemonae	2	Clostridium hylemonae DSM 15053	NZ_ABYI00000000	ABYI00000000			Default			
[Clostridium] innocuum	4	Clostridium innocuum 2959	NZ_AGYV00000000	AGYV00000000			Default			
Clostridium intestinale	1	Clostridium intestinale URNW					Default			
Clostridium kluyveri	2	Clostridium kluyveri DSM 555	NC_009706	CP000673	NC_009466	CP000674	COM		18218779	
Cellulosilyticum lentocellum	2	Clostridium lentocellum DSM 5427	NC_015275	CP002582			COM		21398547	
Clostridium leptum	2	Clostridium leptum DSM 753	NZ_ABCB00000000	ABCB00000000			Default			
Clostridium ljungdahlii	1	Clostridium ljungdahlii DSM 13528	NC_014328	CP001666			COM		20616070	
Clostridium methylpentosum	1	Clostridium methylpentosum DSM 5476	NZ_ACEC00000000	ACEC00000000			Default			
Clostridium nexile	1	Clostridium nexile DSM 1787	NZ_ABWO00000000	ABWO00000000			Default			
Clostridium novyi	1	Clostridium novyi NT	NC_008593	CP000382			COM		17115055	
Clostridium papyrosolvens	2	Clostridium papyrosolvens DSM 2782	NZ_ACXX00000000	ACXX00000000			Default			
Clostridium pasteurianum	4	Clostridium pasteurianum BC1	NC_021182	CP003261	NC_021183	CP003262	Default			
Clostridium perfringens	12	Clostridium perfringens str. 13	NC_003366	BA000016	NC_003042	AP003515	COM		11792842	
Clostridium phytofermentans	1	Clostridium phytofermentans ISDg	NC_010001	CP000885			COM			
[Clostridium] ramosum	1	Clostridium ramosum DSM 1402	NZ_ABFX00000000	ABFX00000000			Default			
Clostridium saccharobutylicum	1	Clostridium saccharobutylicum DSM 13864	NC_022571	CP006721			Default		24285650	
Clostridium saccharolyticum	2	Clostridium saccharolyticum WM1	NC_014376	CP002109			COM			
Clostridium saccharoperbutylacetonicum	2	Clostridium saccharoperbutylacetonicum N1-4(HMT)	NC_020291	CP004121	NC_020292	CP004122	Default			
Clostridium sartagoforme	1	Clostridium sartagoforme AAU1	NZ_ASRV00000000	ASRV00000000			Default			
Clostridium scindens	2	Clostridium scindens ATCC 35704	NZ_ABFY00000000	ABFY00000000			Default			
[Clostridium] sordellii	2	Clostridium sordellii ATCC 9714	NZ_APWR00000000	APWR00000000			Default			
Clostridium	29	Clostridium sp. SY8519	NC_015737	AP012212			COM		21914882	
[Clostridium] spiroforme	1	Clostridium spiroforme DSM 1552	NZ_ABIK00000000	ABIK00000000			Default			
Clostridium sporogenes	2	Clostridium sporogenes ATCC 15579	NZ_ABKW00000000	ABKW00000000			Default			
Clostridium sporosphaeroides	1	Clostridium sporosphaeroides DSM 1294	NZ_ARTA00000000	ARTA00000000			Default			
[Clostridium] stercorarium	2	Clostridium stercorarium subsp. stercorarium DSM 8532	NC_020134	CP004044			Default		23516204	
[Clostridium] sticklandii	1	Clostridium sticklandii DSM 519	NC_014614	FP565809			COM			
Clostridium symbiosum	3	Clostridium symbiosum WAL-14163	NZ_ADLQ00000000	ADLQ00000000			Default			
Clostridium termitidis	1	Clostridium termitidis CT1112	NZ_AORV00000000	AORV00000000			Default			
Clostridium tetani	1	Clostridium tetani E88	NC_004557	AE015927	NC_004565	AF528097	COM		12552129	
Clostridium thermocellum	7	Clostridium thermocellum ATCC 27405	NC_009012	CP000568			COM/PRT			
Clostridium tunisiense	1	Clostridium tunisiense TJ	NZ_AMQH00000000	AMQH00000000			Default			
Clostridium tyrobutyricum	5	Clostridium tyrobutyricum UC7086	NZ_ANOE00000000	ANOE00000000			Default			
Clostridium ultunense	2	Clostridium ultunense Esp	NZ_CARA00000000	CARA00000000			Default			
Cohnella laeviribosi	1	Cohnella laeviribosi DSM 21336	NZ_ARKG00000000	ARKG00000000			Default			
Coleofasciculus chthonoplastes	1	Coleofasciculus chthonoplastes PCC 7420	NZ_ABRS00000000	ABRS00000000			Default			
Collimonas fungivorans	1	Collimonas fungivorans Ter331	NC_015856	CP002745			COM		15305924,16457898,18671744,19638176,21614084	
Collinsella aerofaciens	2	Collinsella aerofaciens ATCC 25986	NZ_AAVN00000000	AAVN00000000			Default			
Collinsella intestinalis	1	Collinsella intestinalis DSM 13280	NZ_ABXH00000000	ABXH00000000			Default			
Collinsella	2	Collinsella sp. GD3	NZ_CAPI00000000	CAPI00000000			Default			
Collinsella stercoris	1	Collinsella stercoris DSM 13279	NZ_ABXJ00000000	ABXJ00000000			Default			
Collinsella tanakaei	1	Collinsella tanakaei YIT 12063	NZ_ADLS00000000	ADLS00000000			Default			
Colwellia piezophila	1	Colwellia piezophila ATCC BAA-637	NZ_ARKQ00000000	ARKQ00000000			Default			
Colwellia psychrerythraea	1	Colwellia psychrerythraea 34H	NC_003910	CP000083			COM		16043709	
Comamonas sp.	1	Comamonas sp. 7D-2			NC_021077	KC771559	Default			
Comamonas sp.	1	Comamonas sp. B-9	NZ_APCR00000000	APCR00000000			Default			
	0	Comamonas testosteroni					Default			
Comamonas testosteroni	5	Comamonas testosteroni CNB-2	NC_013446	CP001220	NC_010935	EF079106	COM		19734336	
Commensalibacter intestini	1	Commensalibacter intestini A911	NZ_AGFR00000000	AGFR00000000			Default			
Conexibacter woesei	2	Conexibacter woesei DSM 14684	NC_013739	CP001854			COM		21304704	
Congregibacter litoralis	1	Congregibacter litoralis KT71	NZ_AAOA00000000	AAOA00000000			Default			
Coprobacillus	8	Coprobacillus sp. D7	NZ_ACDT00000000	ACDT00000000			Default			
Coprobacter fastidiosus	1	Coprobacter fastidiosus NSB1	NZ_AWWG00000000	AWWG00000000			Default			
Coprococcus catus	1	Coprococcus catus GD/7	NC_021009	FP929038			Default			
Coprococcus comes	1	Coprococcus comes ATCC 27758	NZ_ABVR00000000	ABVR00000000			Default			
Coprococcus eutactus	1	Coprococcus eutactus ATCC 27759	NZ_ABEY00000000	ABEY00000000			Default			
Coprococcus	3	Coprococcus sp. ART55/1	NC_021018	FP929039			Default			
Coprothermobacter platensis	1	Coprothermobacter platensis DSM 11748	NZ_ARJK00000000	ARJK00000000			Default			
Coprothermobacter proteolyticus	1	Coprothermobacter proteolyticus DSM 5265	NC_011295	CP001145			COM			
Coraliomargarita akajimensis	1	Coraliomargarita akajimensis DSM 45221	NC_014008	CP001998			COM		21304713	
Corallococcus coralloides	1	Corallococcus coralloides DSM 2259	NC_017030	CP003389			Default		22582372	
Coriobacterium glomerans	1	Coriobacterium glomerans PW2	NC_015389	CP002628			COM			
Corynebacterium accolens	2	Corynebacterium accolens ATCC 49726	NZ_AEED00000000	AEED00000000			Default			
Corynebacterium ammoniagenes	1	Corynebacterium ammoniagenes DSM 20306	NZ_ADNS00000000	ADNS00000000			Default			
Corynebacterium amycolatum	1	Corynebacterium amycolatum SK46	NZ_ABZU00000000	ABZU00000000			Default			
Corynebacterium argentoratense	1	Corynebacterium argentoratense DSM 44202	NC_022198	CP006365			Default		24092787	
Corynebacterium aurimucosum	2	Corynebacterium aurimucosum ATCC 700975	NC_012590	CP001601	NC_010813	FM164414	COM		20137072	
Corynebacterium bovis	1	Corynebacterium bovis DSM 20582	NZ_AENJ00000000	AENJ00000000			Default			
	0	Corynebacterium callunae					Default			
Corynebacterium capitovis	1	Corynebacterium capitovis DSM 44611	NZ_AQUV00000000	AQUV00000000			Default			
	0	Corynebacterium casei					Default			
Corynebacterium caspium	1	Corynebacterium caspium DSM 44850	NZ_ARBM00000000	ARBM00000000			Default			
Corynebacterium ciconiae	1	Corynebacterium ciconiae DSM 44920	NZ_AQUW00000000	AQUW00000000			Default			
Corynebacterium crenatum	1	Corynebacterium crenatum MT	NZ_AQPS00000000	AQPS00000000			Default			
Corynebacterium diphtheriae	17	Corynebacterium diphtheriae HC02	NC_016802	CP003213			COM		22505676	
Corynebacterium doosanense	1	Corynebacterium doosanense CAU 212 = DSM 45436	NZ_AQUX00000000	AQUX00000000			Default			
Corynebacterium durum	1	Corynebacterium durum F0235	NZ_AMEM00000000	AMEM00000000			Default			
Corynebacterium efficiens	2	Corynebacterium efficiens YS-314	NC_004369	BA000035	NC_004319 ... (2)	AP005225 ... (2)	COM		12840036	
Corynebacterium genitalium	1	Corynebacterium genitalium ATCC 33030	NZ_ACLJ00000000,NZ_CM000961	ACLJ00000000,CM000961			Default			
Corynebacterium glucuronolyticum	2	Corynebacterium glucuronolyticum ATCC 51867	NZ_ABYP00000000	ABYP00000000			Default			
Corynebacterium glutamicum	10	Corynebacterium glutamicum ATCC 13032	NC_003450	BA000036			FGS/MOD/UPR	This is the first Corynebacterium glutamicum genome. Corynebacterium glutamicum ATCC 13032 is widely used for the industrial production of amino acids and it has a reference proteome in UniProtKB database.		http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:10
Corynebacterium glutamicum	10	Corynebacterium glutamicum R	NC_009342	AP009044	NC_009343	AP009045	PRT		17379713	
Corynebacterium halotolerans	1	Corynebacterium halotolerans YIM 70093 = DSM 44683	NC_020302	CP003697	NC_020303	CP003698	Default		23408721	
Corynebacterium jeikeium	2	Corynebacterium jeikeium K411	NC_007164	CR931997	NC_003080	AF401314	COM		15968079	
Corynebacterium kroppenstedtii	1	Corynebacterium kroppenstedtii DSM 44385	NC_012704	CP001620			COM		18430482	
Corynebacterium lipophiloflavum	1	Corynebacterium lipophiloflavum DSM 44291	NZ_ACHJ00000000	ACHJ00000000			Default			
Corynebacterium lubricantis	1	Corynebacterium lubricantis DSM 45231	NZ_ARAV00000000	ARAV00000000			Default			
Corynebacterium maris	1	Corynebacterium maris DSM 45190	NC_021915	CP003924	NC_021920	CP003925	Default			
Corynebacterium massiliense	1	Corynebacterium massiliense DSM 45435	NZ_ATVG00000000	ATVG00000000			Default			
Corynebacterium mastitidis	1	Corynebacterium mastitidis DSM 44356	NZ_AQXB00000000	AQXB00000000			Default			
Corynebacterium matruchotii	2	Corynebacterium matruchotii ATCC 14266	NZ_ACSH00000000	ACSH00000000			Default			
Corynebacterium nuruki	1	Corynebacterium nuruki S6-4	NZ_AFIZ00000000	AFIZ00000000			Default			
Corynebacterium pilosum	1	Corynebacterium pilosum DSM 20521	NZ_AREP00000000	AREP00000000			Default			
Corynebacterium propinquum	1	Corynebacterium propinquum DSM 44285	NZ_AQXC00000000	AQXC00000000			Default			
Corynebacterium pseudodiphtheriticum	1	Corynebacterium pseudodiphtheriticum 090104	NZ_AVFF00000000	AVFF00000000			Default			
Corynebacterium pseudogenitalium	1	Corynebacterium pseudogenitalium ATCC 33035	NZ_ABYQ00000000	ABYQ00000000			Default			
Corynebacterium pseudotuberculosis	15	Corynebacterium pseudotuberculosis FRC41	NC_014329	CP002097			COM		21192786	
Corynebacterium pyruviciproducens	1	Corynebacterium pyruviciproducens ATCC BAA-1742	NZ_ATBY00000000	ATBY00000000			Default			
	0	Corynebacterium renale					Default			
Corynebacterium resistens	1	Corynebacterium resistens DSM 45100	NC_015673	CP002857			COM		22524407	
	0	Corynebacterium sp. L2-79-05					Default			
	0	Corynebacterium striatum					Default			
Corynebacterium terpenotabidum	1	Corynebacterium terpenotabidum Y-11	NC_021663	CP003696			Default			
	0	Corynebacterium timonense 5401744					Default			
	0	Corynebacterium tuberculostearicum					Default			
Corynebacterium ulcerans	6	Corynebacterium ulcerans BR-AD22	NC_015683	CP002791			COM		21801446	
Corynebacterium ulceribovis	1	Corynebacterium ulceribovis DSM 45146	NZ_AQUY00000000	AQUY00000000			Default			
Corynebacterium urealyticum	2	Corynebacterium urealyticum DSM 7109	NC_010545	AM942444			COM		18367281	
Corynebacterium variabile	1	Corynebacterium variabile DSM 44702	NC_015859	CP002917			COM		22053731	
Coxiella burnetii	19	Coxiella burnetii RSA 493	NC_002971	AE016828	NC_004704	AE016829	FGS/UPR	This strain has a reference proteome in UniProtKB database.	12704232,19047403	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:10
Crenarchaeota archaeon SCGC AAA471-B05	1	Crenarchaeota archaeon SCGC AAA471-B05	NZ_AQYM00000000	AQYM00000000			Default			
	0	Crenarchaeota archaeon SCGC AAA471-C03					Default			
	0	Crenarchaeota archaeon SCGC AAA471-L13					Default			
Crenarchaeota archaeon SCGC AAA471-L14	1	Crenarchaeota archaeon SCGC AAA471-L14	NZ_ASMI00000000	ASMI00000000			Default			
Crenarchaeota archaeon SCGC AAA471-O08	1	Crenarchaeota archaeon SCGC AAA471-O08	NZ_ASMJ00000000	ASMJ00000000			Default			
Crinalium epipsammum	1	Crinalium epipsammum PCC 9333	NC_019753	CP003620	NC_019733 ... (8)	CP003621 ... (8)	Default			
Croceibacter atlanticus	1	Croceibacter atlanticus HTCC2559	NC_014230	CP002046			COM		20639333	
Crocosphaera watsonii	2	Crocosphaera watsonii WH 8501	NZ_AADV00000000	AADV00000000			Default			
Cronobacter condimenti	1	Cronobacter condimenti 1330	NZ_CAKW00000000	CAKW00000000			Default			
Cronobacter dublinensis	5	Cronobacter dublinensis 1210	NZ_CAKZ00000000	CAKZ00000000			Default			
Cronobacter malonaticus	3	Cronobacter malonaticus 681	NZ_CALC00000000	CALC00000000			Default			
	0	Cronobacter muytjensii 530					Default			
Cronobacter sakazakii	14	Cronobacter sakazakii ATCC BAA-894	NC_009778	CP000783	NC_009779 ... (2)	CP000784 ... (2)	COM		20221447	
Cronobacter turicensis	4	Cronobacter turicensis 564	NZ_CALB00000000	CALB00000000			Default			
Cronobacter turicensis	4	Cronobacter turicensis z3032	NC_013282	FN543093	NC_013283 ... (3)	FN543094 ... (3)	COM		21037008	
Cronobacter universalis	2	Cronobacter universalis NCTC 9529	NZ_CAKX00000000	CAKX00000000			Default			
Cryocola sp.	1	Cryocola sp. 340MFSha3.1	NZ_ARTB00000000	ARTB00000000			Default			
Cryptobacterium curtum	1	Cryptobacterium curtum DSM 15641	NC_013170	CP001682			PRT/COM		21304644	
Cupriavidus basilensis	2	Cupriavidus basilensis OR16	NZ_AHJE00000000	AHJE00000000			Default			
Cupriavidus metallidurans	2	Cupriavidus metallidurans CH34	NC_007973	CP000352	NC_007971 ... (3)	CP000353 ... (3)	COM			
Cupriavidus necator	2	Cupriavidus necator N-1	NC_015723,NC_015726	CP002877,CP002878	NC_015724 ... (2)	CP002879 ... (2)	COM		21742890	
Cupriavidus	7	Cupriavidus sp. HMR-1	NZ_ANKP00000000	ANKP00000000			Default			
Cupriavidus taiwanensis	3	Cupriavidus taiwanensis LMG 19424	NC_010528,NC_010530	CU633749,CU633750	NC_010529	CU633751	COM		18490699	
Curtobacterium flaccumfaciens	1	Curtobacterium flaccumfaciens UCD-AKU	NZ_APJN00000000	APJN00000000			Default			
Curtobacterium sp.	3	Curtobacterium sp. B8	NZ_BACW00000000	BACW00000000			Default			
Curvibacter lanceolatus	1	Curvibacter lanceolatus ATCC 14669	NZ_ARLO00000000	ARLO00000000			Default			
Cyanobacterium aponinum	1	Cyanobacterium aponinum PCC 10605	NC_019776	CP003947	NC_019777	CP003948	Default			
Cyanobacterium stanieri	1	Cyanobacterium stanieri PCC 7202	NC_019778	CP003940			Default			
Cyanobium gracile	1	Cyanobium gracile PCC 6307	NC_019675	CP003495			Default			
Cyanobium	1	Cyanobium sp. PCC 7001	NZ_ABSE00000000	ABSE00000000			Default			
Cyanothece	8	Cyanothece sp. ATCC 51142	NC_010546,NC_010547	CP000806,CP000807	NC_010539 ... (4)	CP000808 ... (4)	COM/PRT		18812508	
Cyanothece	8	Cyanothece sp. PCC 7424	NC_011729	CP001291	NC_011730 ... (6)	CP001292 ... (6)	COM			
Cyanothece	8	Cyanothece sp. PCC 7425	NC_011884	CP001344	NC_011880 ... (3)	CP001345 ... (3)	COM/PRT			
Cyanothece	8	Cyanothece sp. PCC 7822	NC_014501	CP002198	NC_014502 ... (6)	CP002199 ... (6)	PRT/COM			
Cyanothece	8	Cyanothece sp. PCC 8801	NC_011726	CP001287	NC_011721 ... (3)	CP001288 ... (3)	COM/PRT			
Cyanothece	8	Cyanothece sp. PCC 8802	NC_013161	CP001701	NC_013160 ... (4)	CP001702 ... (4)	COM/PRT			
Cyclobacterium marinum	1	Cyclobacterium marinum DSM 745	NC_015914	CP002955			COM			
Cyclobacterium qasimii	1	Cyclobacterium qasimii M12-11B	NZ_ATNM00000000	ATNM00000000			Default			
Cycloclasticus pugetii	1	Cycloclasticus pugetii PS-1	NZ_ARVU00000000	ARVU00000000			Default			
Cycloclasticus	2	Cycloclasticus sp. P1	NC_018697	CP003230			Default		23144416	
Cycloclasticus zancles	1	Cycloclasticus zancles 7-ME	NC_021917	CP005996	NC_021918	CP006601	Default			
Cylindrospermopsis raciborskii	1	Cylindrospermopsis raciborskii CS-505	NZ_ACYA00000000	ACYA00000000			Default			
	0	Cylindrospermum sp. A1345					Default			
Cylindrospermum stagnale	1	Cylindrospermum stagnale PCC 7417	NC_019757	CP003642	NC_019744 ... (3)	CP003643 ... (3)	Default			
Cystobacter fuscus	1	Cystobacter fuscus DSM 2262	NZ_ANAH00000000	ANAH00000000			Default			
Cytophaga aurantiaca	1	Cytophaga aurantiaca DSM 3654	NZ_ARBN00000000	ARBN00000000			Default			
Cytophaga hutchinsonii	1	Cytophaga hutchinsonii ATCC 33406	NC_008255	CP000383			COM		17400776	
Dactylococcopsis salina	1	Dactylococcopsis salina PCC 8305	NC_019780	CP003944			Default			
Dasania marina	1	Dasania marina DSM 21967	NZ_ARDZ00000000	ARDZ00000000			Default			
Dechloromonas aromatica	1	Dechloromonas aromatica RCB	NC_007298	CP000089			COM			
Azospira oryzae	1	Dechlorosoma suillum PS	NC_016616	CP003153			Default		22535943	
Deferribacter desulfuricans	1	Deferribacter desulfuricans SSM1	NC_013939	AP011529	NC_013940	AP011530	COM		12807210,20189949	
Dehalobacter	5	Dehalobacter sp. CF	NC_018867	CP003870			Default		23284863	
Dehalococcoides mccartyi	4	Dehalococcoides ethenogenes 195	NC_002936	CP000027			COM		15637277	
Dehalococcoides	6	Dehalococcoides sp. BAV1	NC_009455	CP000688			COM			
Dehalococcoides	6	Dehalococcoides sp. CBDB1	NC_007356	AJ965256			COM		16116419	
Dehalococcoides	6	Dehalococcoides sp. GT	NC_013890	CP001924			COM			
Dehalococcoides	6	Dehalococcoides sp. VS	NC_013552	CP001827			COM		19893622	
Dehalogenimonas lykanthroporepellens	1	Dehalogenimonas lykanthroporepellens BL-DC-9	NC_014314	CP002084			COM		22768368	
Deinococcus apachensis	1	Deinococcus apachensis DSM 19763	NZ_ARLS00000000	ARLS00000000			Default			
Deinococcus aquatilis	1	Deinococcus aquatilis DSM 23025	NZ_ARKH00000000	ARKH00000000			Default			
Deinococcus deserti	1	Deinococcus deserti VCD115	NC_012526	CP001114	NC_012527 ... (3)	CP001115 ... (3)	COM		19370165,19875382	
Deinococcus geothermalis	1	Deinococcus geothermalis DSM 11300	NC_008025	CP000359	NC_008010 ... (2)	CP000358 ... (2)	COM			
Deinococcus gobiensis	1	Deinococcus gobiensis I-0	NC_017790	CP002191	NC_017771 ... (6)	CP002192 ... (6)	Default		22470573	
Deinococcus maricopensis	1	Deinococcus maricopensis DSM 21211	NC_014958	CP002454			COM		21677853	
Deinococcus peraridilitoris	1	Deinococcus peraridilitoris DSM 19664	NC_019793	CP003382	NC_019789 ... (2)	CP003383 ... (2)	Default			
Deinococcus proteolyticus	1	Deinococcus proteolyticus MRP	NC_015161	CP002536	NC_015162 ... (4)	CP002537 ... (4)	COM		22768367	
Deinococcus radiodurans	1	Deinococcus radiodurans R1	NC_001263,NC_001264	AE000513,AE001825	NC_000958 ... (2)	AE001826 ... (2)	UPR	This strain has a reference proteome in UniProtKB database.	10567266	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:10
	0	Deinococcus radiopugnans ATCC 19172					Default			
Deinococcus	1	Deinococcus sp. 2009	NZ_ATTJ00000000	ATTJ00000000			Default			
Deinococcus wulumuqiensis	1	Deinococcus wulumuqiensis R12	NZ_APCS00000000	APCS00000000			Default			
Delftia acidovorans	3	Delftia acidovorans SPH-1	NC_010002	CP000884			COM		15240283	
Delftia	2	Delftia sp. Cs1-4	NC_015563	CP002735			COM			
delta proteobacterium MLMS-1	1	delta proteobacterium MLMS-1	NZ_AAQF00000000	AAQF00000000			Default			
delta proteobacterium NaphS2	1	delta proteobacterium NaphS2	NZ_ADZZ00000000	ADZZ00000000			Default			
Demetria terragena	1	Demetria terragena DSM 11295	NZ_AQXW00000000	AQXW00000000			Default			
Denitrovibrio acetiphilus	1	Denitrovibrio acetiphilus DSM 12809	NC_013943	CP001968			COM		21304711	
Dermabacter	1	Dermabacter sp. HFH0086	NZ_ATFO00000000	ATFO00000000			Default			
